"indivID","householdID","age","sex","group","bone","yrs_edu","darija","income","net_income","wealth","loans","years_in_com","water_need","water_interruption","water_change_plans","fewer_meals","no_food","hungry_alldaynight","interviewed_econ","interviewed_networks","interviewed_nomadism"
"ID190","ID65",31,"male","never nomad","iguramen",9,1,63500,63500,294930,"no",31,"never","rarely","never","never","never","never",1,1,0
"ID232","ID135",33,"male","never nomad","ait_hdidou",0,0,2750,2750,178900,"yes",33,"often","often","sometimes","never","never","never",1,1,0
"ID237","ID17",39,"male","former nomad","iguramen",6,1,8000,8000,53490,"yes",11,"sometimes","sometimes","sometimes","never","never","never",1,1,1
"ID202","ID40",38,"male","never nomad","iguramen",0,0,4050,4050,9450,"no",38,"sometimes","often","sometimes","never","never","never",1,1,0
"ID137","ID105",38,"male","never nomad","ait_hdidou",6,0,4380,4380,169450,"no",38,"often","sometimes","sometimes","never","never","never",1,1,0
"ID184","ID7",43,"male","never nomad","ait_hdidou",0,1,7800,7800,15650,"no",44,"often","often","often","never","never","never",1,1,0
"ID265","ID115",42,"male","never nomad","ait_hdidou",0,0,1125,1125,89110,"no",42,"often","often","often","never","never","never",1,1,0
"ID231","ID50",54,"male","never nomad","ait_hdidou",1,0,3850,3850,48430,"no",53,"sometimes","sometimes","sometimes","never","never","never",1,1,0
"ID244","ID104",51,"male","never nomad","ait_hdidou",9,1,6980,6980,35400,"no",51,"always","sometimes","sometimes","never","never","never",1,1,0
"ID250","ID27",41,"male","former nomad","other",0,0,6480,6480,64750,"yes",12,"sometimes","sometimes","sometimes","never","never","never",1,1,1
"ID246","ID56",33,"male","former nomad","iguramen",0,0,4600,4600,37000,"no",8,"often","always","always","never","never","never",1,1,0
"ID266","ID90",36,"male","never nomad","ait_hdidou",5,1,27500,27500,7750,"no",37,"rarely","rarely","rarely","never","never","never",1,1,0
"ID134","ID102",31,"male","never nomad","other",0,0,5000,5000,10950,"no",6,"sometimes","sometimes","sometimes","never","never","never",1,1,0
"ID152","ID71",42,"male","never nomad","iguramen",0,0,900,900,15830,"no",42,"sometimes","often","often","never","never","never",1,1,0
"ID100","ID116",62,"male","former nomad","other",0,0,0,0,95150,"no",34,"never","sometimes","never","never","never","never",1,1,0
"ID9","ID14",68,"male","former nomad","iguramen",0,0,700,700,49150,"no",44,"never","sometimes","sometimes","never","never","never",1,1,1
"ID105","ID82",68,"male","former nomad","other",0,0,2500,2500,135830,"yes",30,"often","often","often","never","never","never",1,1,1
"ID19","ID3",48,"male","never nomad","ait_hdidou",11,1,30000,30000,12450,"no",49,"never","rarely","sometimes","never","never","never",1,1,0
"ID53","ID85",68,"female","never nomad","iguramen",0,0,0,0,30150,"no",68,"never","sometimes","sometimes","sometimes","never","never",1,1,0
"ID45","ID38",64,"male","former nomad","iguramen",0,0,26000,25200,96690,"no",35,"often","always","sometimes","never","never","never",1,1,1
"ID68","ID44",60,"male","former nomad","iguramen",0,0,2100,2100,76150,"yes",20,"sometimes","sometimes","sometimes","never","never","never",1,1,1
"ID240","ID77",37,"male","never nomad","other",2,0,8385,8385,272810,"no",37,"never","sometimes","never","never","never","never",1,1,0
