"age_settled","group","why_settle_cats","settle_where_why_cat","want_settle","want_settle_why_cat","nomad_relative_need","settled_relative_need","nomad_support","change_support","nomad_respect_settled","nomad_respect_others","nomad_conflicts","settled_conflicts","advnom_cat","advset_cat","go_back","nomad_freedom","settled_freedom"
NA,"full-time nomad",NA,NA,"yes","physically tired","same",NA,"often",NA,"often","always","rarely","never","nothing","social life and support",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; livestock decreasing due to drought; boredom","more",NA,"never",NA,"often","often","often",NA,"freedom and autonomy; livestock; conditional satisfaction","comfort and reduced physical effort",NA,"never",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","same",NA,"often",NA,"always","always","never",NA,"nothing","infrastructure; education; leisure",NA,"rarely",NA
38,"part-time nomad","physically tired or ill and children's schooling","support_from_unrelated",NA,NA,"same","same","always","little_easier","always","always","never","never","freedom and autonomy","infrastructure; comfort and reduced physical effort","no","often","always"
NA,"full-time nomad",NA,NA,"yes","physically tired; livestock decreasing due to drought; children's schooling","same",NA,"never",NA,"always","always","never",NA,"attachment and identity","infrastructure; comfort and reduced physical effort; services and markets",NA,"never",NA
NA,"full-time nomad",NA,NA,"yes","access to infrastructure; children's schooling","same",NA,"never",NA,"always","always","never",NA,"nothing","infrastructure; comfort and reduced physical effort; education",NA,"never",NA
NA,"full-time nomad",NA,NA,"yes","access to infrastructure; children's schooling","same",NA,"never",NA,"always","always","never",NA,"atmosphere and environment","infrastructure; comfort and reduced physical effort; safety and protection from elements; education",NA,"never",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","same",NA,"always",NA,"always","always","never",NA,"nothing","infrastructure; religion; sanitation and cleanliness",NA,"never",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","same",NA,"never",NA,"always","always","never",NA,"conditional satisfaction","comfort and reduced physical effort; education; services and markets",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"no","hard to integrate; don't know how to make a living in village","same",NA,"always",NA,"always","always","never",NA,"freedom and autonomy","comfort and reduced physical effort; education; services and markets",NA,"always",NA
NA,"full-time nomad",NA,NA,"no","attached to nomadic lifestyle and herd","more",NA,"never",NA,"always","always","never",NA,"attachment and identity","comfort and reduced physical effort; social life and support",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","more",NA,"never",NA,"always","always","never",NA,"conditional satisfaction","comfort and reduced physical effort",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","same",NA,"often",NA,"always","always","never",NA,"conditional satisfaction","comfort and reduced physical effort; education",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","children's schooling","same",NA,"never",NA,"always","always","never",NA,"nothing","infrastructure; comfort and reduced physical effort; services and markets",NA,"often",NA
NA,"full-time nomad",NA,NA,"no","attached to nomadic lifestyle and herd","same",NA,"never",NA,"always","always","never",NA,"freedom and autonomy; livestock; conditional satisfaction","infrastructure; comfort and reduced physical effort; education; services and markets",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"no","hard to integrate; don't know how to make a living in village","more",NA,"always",NA,"always","always","never",NA,"atmosphere and environment; peace of mind","comfort and reduced physical effort; safety and protection from elements",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","protection from the elements; children's schooling","same",NA,"often",NA,"always","always","never",NA,"food and traditions; conditional satisfaction","comfort and reduced physical effort; education; services and markets",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","same",NA,"never",NA,"always","always","never",NA,"freedom and autonomy","comfort and reduced physical effort; safety and protection from elements; sanitation and cleanliness",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","more",NA,"never",NA,"always","always","never",NA,"conditional satisfaction","comfort and reduced physical effort",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; protection from the elements","same",NA,"rarely",NA,"always","always","never",NA,"peace of mind","comfort and reduced physical effort; safety and protection from elements; education",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","same",NA,"often",NA,"always","always","never",NA,"nothing","infrastructure; education",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","more",NA,"never",NA,"always","always","never",NA,"peace of mind","comfort and reduced physical effort",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","more",NA,"rarely",NA,"often","always","rarely",NA,"nothing","infrastructure; comfort and reduced physical effort; education",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","protection from the elements","more",NA,"never",NA,"often","never","rarely",NA,"atmosphere and environment","infrastructure; comfort and reduced physical effort; education",NA,"rarely",NA
