"question","egoID","alterID","in_out"
"Natural hazards IN","ID28","OID3","out"
"Natural hazards IN","ID9","ID102","in"
"Natural hazards IN","ID238","ID102","in"
"Natural hazards IN","ID211","OID4","out"
"Natural hazards IN","ID211","ID24","in"
"Natural hazards IN","ID24","OID4","out"
"Natural hazards IN","ID24","ID211","in"
"Natural hazards IN","ID98","ID18","in"
"Natural hazards IN","ID98","ID138","in"
"Natural hazards IN","ID98","ID100","in"
"Natural hazards IN","ID18","ID98","in"
"Natural hazards IN","ID18","ID138","in"
"Natural hazards IN","ID18","ID100","in"
"Natural hazards IN","ID225","OID5","in"
"Natural hazards IN","ID225","OID6","out"
"Natural hazards IN","ID225","OID7","out"
"Natural hazards IN","ID225","OID8","out"
"Natural hazards IN","ID225","ID45","in"
"Natural hazards IN","ID225","ID138","in"
"Natural hazards IN","ID53","ID90","in"
"Natural hazards IN","ID53","ID102","in"
"Natural hazards IN","ID130","ID9","in"
"Natural hazards IN","ID130","ID23","in"
"Natural hazards IN","ID130","ID238","in"
"Natural hazards IN","ID130","OID9","out"
"Natural hazards IN","ID23","ID102","in"
"Natural hazards IN","ID23","ID9","in"
"Natural hazards IN","ID23","OID10","out"
"Natural hazards IN","ID133","OID5","in"
"Natural hazards IN","ID106","ID174","in"
"Natural hazards IN","ID106","ID262","in"
"Natural hazards IN","ID106","ID168","in"
"Natural hazards IN","ID99","ID174","in"
"Natural hazards IN","ID99","ID262","in"
"Natural hazards IN","ID99","ID168","in"
"Natural hazards IN","ID99","ID106","in"
"Natural hazards IN","ID99","ID251","in"
"Natural hazards IN","ID99","OID11","out"
"Natural hazards IN","ID176","ID262","in"
"Natural hazards IN","ID176","ID174","in"
"Natural hazards IN","ID176","ID99","in"
"Natural hazards IN","ID176","ID106","in"
"Natural hazards IN","ID176","ID173","in"
"Natural hazards IN","ID176","ID251","in"
"Natural hazards IN","ID176","ID168","in"
"Natural hazards IN","ID181","OID12","out"
"Natural hazards IN","ID250","OID5","in"
"Natural hazards IN","ID250","ID100","in"
"Natural hazards IN","ID79","ID174","in"
"Natural hazards IN","ID79","ID102","in"
"Natural hazards IN","ID79","OID13","in"
"Natural hazards IN","ID108","OID14","out"
"Natural hazards IN","ID108","OID15","out"
"Natural hazards IN","ID80","ID102","in"
"Natural hazards IN","ID80","ID232","in"
"Natural hazards IN","ID80","OID16","in"
"Natural hazards IN","ID146","ID102","in"
"Natural hazards IN","ID237","OID17","out"
"Natural hazards IN","ID237","OID18","out"
"Natural hazards IN","ID237","ID272","in"
"Natural hazards IN","ID261","OID16","in"
"Natural hazards IN","ID261","ID102","in"
"Natural hazards IN","ID253","ID65","in"
"Natural hazards IN","ID253","OID19","in"
"Natural hazards IN","ID253","OID20","in"
"Natural hazards IN","ID253","OID21","out"
"Natural hazards IN","ID253","OID22","out"
"Natural hazards IN","ID89","ID27","in"
"Natural hazards IN","ID210","OID23","in"
"Natural hazards IN","ID210","ID260","in"
"Natural hazards IN","ID31","ID102","in"
"Natural hazards IN","ID74","OID24","out"
"Natural hazards IN","ID135","OID24","out"
"Natural hazards IN","ID105","OID25","in"
"Natural hazards IN","ID105","ID102","in"
"Natural hazards IN","ID54","ID28","in"
"Natural hazards IN","ID54","OID5","in"
"Natural hazards IN","ID6","ID54","in"
"Natural hazards IN","ID39","OID26","out"
"Natural hazards IN","ID272","ID237","in"
"Natural hazards IN","ID258","ID155","in"
"Natural hazards IN","ID258","OID27","in"
"Natural hazards IN","ID258","OID28","in"
"Natural hazards IN","ID107","ID95","in"
"Natural hazards IN","ID254","ID210","in"
"Natural hazards IN","ID170","ID89","in"
"Natural hazards IN","ID61","ID100","in"
"Natural hazards IN","ID248","ID102","in"
"Natural hazards IN","ID248","ID138","in"
"Natural hazards IN","ID221","ID102","in"
"Natural hazards IN","ID222","OID29","out"
"Natural hazards IN","ID222","OID30","out"
"Natural hazards IN","ID222","OID31","out"
"Natural hazards IN","ID222","OID32","out"
"Natural hazards IN","ID222","OID33","out"
"Natural hazards IN","ID222","ID62","in"
"Natural hazards IN","ID222","OID34","in"
"Natural hazards IN","ID222","OID35","in"
"Natural hazards IN","ID222","ID138","in"
"Natural hazards IN","ID13","OID36","out"
"Natural hazards IN","ID13","ID102","in"
"Natural hazards IN","ID218","ID100","in"
"Natural hazards IN","ID218","OID5","in"
"Natural hazards IN","ID63","ID181","in"
"Natural hazards IN","ID63","ID74","in"
"Natural hazards IN","ID63","ID135","in"
"Natural hazards IN","ID230","OID5","in"
"Natural hazards IN","ID230","ID68","in"
"Natural hazards IN","ID109","OID37","out"
"Natural hazards IN","ID109","ID105","in"
"Natural hazards IN","ID179","ID134","in"
"Natural hazards IN","ID171","OID38","out"
"Natural hazards IN","ID171","ID100","in"
"Natural hazards IN","ID124","OID39","out"
"Natural hazards IN","ID114","ID100","in"
"Natural hazards IN","ID118","ID114","in"
"Natural hazards IN","ID118","ID272","in"
"Natural hazards IN","ID118","ID202","in"
"Natural hazards IN","ID231","ID39","in"
"Natural hazards IN","ID231","OID40","in"
"Natural hazards IN","ID231","ID102","in"
"Natural hazards IN","ID231","OID41","out"
"Natural hazards IN","ID132","ID39","in"
"Natural hazards IN","ID132","ID54","in"
"Natural hazards IN","ID132","ID231","in"
"Natural hazards IN","ID184","ID102","in"
"Natural hazards IN","ID184","ID137","in"
"Natural hazards IN","ID202","ID100","in"
"Natural hazards IN","ID84","ID219","in"
"Natural hazards IN","ID244","OID42","out"
"Natural hazards IN","ID44","ID75","in"
"Natural hazards IN","ID195","OID43","out"
"Natural hazards IN","ID240","ID54","in"
"Natural hazards IN","ID240","OID25","in"
"Natural hazards IN","ID240","OID44","in"
"Natural hazards IN","ID68","OID5","in"
"Natural hazards IN","ID68","ID218","in"
"Natural hazards IN","ID60","OID45","out"
"Natural hazards IN","ID246","ID265","in"
"Natural hazards IN","ID246","ID109","in"
"Natural hazards IN","ID246","ID28","in"
"Natural hazards IN","ID246","OID46","out"
"Natural hazards IN","ID152","OID47","out"
"Natural hazards IN","ID152","OID48","out"
"Natural hazards IN","ID17","ID155","in"
"Natural hazards IN","ID122","OID49","out"
"Natural hazards IN","ID122","ID102","in"
"Natural hazards IN","ID122","OID5","in"
"Natural hazards IN","ID180","ID100","in"
"Natural hazards IN","ID180","OID5","in"
"Natural hazards IN","ID180","ID237","in"
"Natural hazards IN","ID22","ID138","in"
"Natural hazards IN","ID22","OID50","out"
"Natural hazards IN","ID22","OID5","in"
"Natural hazards IN","ID76","ID100","in"
"Natural hazards IN","ID76","ID40","in"
"Natural hazards IN","ID58","ID60","in"
"Natural hazards IN","ID58","ID45","in"
"Natural hazards IN","ID232","ID137","in"
"Natural hazards IN","ID232","OID51","in"
"Natural hazards IN","ID3","OID5","in"
"Natural hazards IN","ID3","ID122","in"
"Natural hazards IN","ID4","ID102","in"
"Natural hazards IN","ID4","ID100","in"
"Natural hazards IN","ID4","OID51","in"
"Natural hazards IN","ID266","ID232","in"
"Natural hazards IN","ID266","ID4","in"
"Natural hazards IN","ID145","ID102","in"
"Natural hazards IN","ID268","ID102","in"
"Natural hazards IN","ID46","OID44","in"
"Natural hazards IN","ID265","ID28","in"
"Natural hazards IN","ID265","OID5","in"
"Natural hazards IN","ID265","OID52","out"
"Natural hazards IN","ID239","ID100","in"
"Natural hazards IN","ID239","OID5","in"
"Natural hazards IN","ID214","ID28","in"
"Natural hazards IN","OID1","ID100","in"
"Natural hazards IN","ID196","OID53","out"
"Natural hazards IN","ID196","OID54","out"
"Natural hazards IN","ID41","ID100","in"
"Natural hazards IN","ID260","ID102","in"
"Natural hazards IN","ID260","OID55","out"
"Natural hazards IN","ID260","ID10","in"
"Natural hazards IN","ID270","OID56","out"
"Natural hazards IN","ID270","OID57","out"
"Natural hazards IN","ID270","OID58","out"
"Natural hazards IN","ID174","ID102","in"
"Natural hazards IN","ID197","ID40","in"
"Natural hazards IN","ID197","OID59","in"
"Natural hazards IN","ID112","ID197","in"
"Natural hazards IN","ID112","ID40","in"
"Natural hazards IN","ID112","OID59","in"
"Natural hazards IN","ID112","ID217","in"
"Natural hazards IN","ID153","ID197","in"
"Natural hazards IN","ID153","ID112","in"
"Natural hazards IN","ID153","ID40","in"
"Natural hazards IN","ID153","OID59","in"
"Natural hazards IN","ID217","ID197","in"
"Natural hazards IN","ID217","ID40","in"
"Natural hazards IN","ID217","ID112","in"
"Natural hazards IN","ID51","ID231","in"
"Natural hazards IN","ID77","ID231","in"
"Natural hazards IN","ID12","OID5","in"
"Natural hazards IN","ID12","OID60","out"
